shot_id,start_time,end_time,duration_s,segment,title,narration,on_screen_text,visuals,audio_notes,notes
S01,00:00,00:15,15,Hook,Silence to noise,"For millions, the web sounds like this.","Millions hear the web like this.","Use <FullScreenBlack />, <Waveform />, and <GhostIconCloud /> with soft fades.","Screen reader: 'Button. Button. Button.'",Keep captions bottom-center
S02,00:15,00:35,20,Problem,Unlabeled icons,"Modern sites are filled with icons and custom components that often ship without labels.","Unlabeled icons / Screen readers: 'Button.'","Use <MockBrowser /> + <SkeletonBlock />; target <IconButton />s outlined with <OutlinePulse />; <ScreenReaderStack /> on right.","Ambient bed low",Cut fast
S03,00:35,00:55,20,Impact,Guessing game,"That turns shopping carts, menus, and controls into guessing games.","Friction. / Lost time. / Exclusion.","Use <ImpactCardRow /> with SVG icons; cards slide in/out.","Short whoosh SFX on each card",Snap transitions
S04,00:55,01:10,15,Reveal,Logo intro,"WebIlluminator repairs missing semantics instantly.","WebIlluminator / Illuminate the dark corners of the web.","Use <LogoLockup /> + <ExtensionBadge /> with subtle glow.","Bed continues",Hold for readability
S05,01:10,01:40,30,How it works,Scan to repair,"Here is how it works. It scans for missing labels, tags the UI with visual IDs, sends a snapshot to Gemini, then injects ARIA labels back into the DOM. Under the hood: intent recognition, SPA focus management, and Shadow DOM piercing.","1 Scan  2 Tag  3 See  4 Repair / Intent Recognition / SPA Focus Management / Shadow DOM Piercing","Use <StepRail /> left; right <MockBrowser /> with <ScanningBeam />, <SoMTag />, <GeminiCallout />, and <LabelPill /> (spring). Add <TechChipStack /> upper-right.","Scanning hum begins + light UI blips",Smooth wipe into/out of this section
S06,01:40,01:55,15,Demo (before),Unlabeled state,"Let's watch it in action. On this UI the search, cart, and close buttons are unlabeled.","Before","Split screen with two <MockBrowser /> states; left shows skeleton content and three unlabeled <IconButton />s with <HighlightRing />.","Ambient bed low",Keep labels hidden
S07,01:55,02:10,15,Demo (action),Activation,"Press Alt plus R. The page is tagged, Gemini responds, and the labels appear.","Alt+R","Show <KeystrokeOverlay />, then <ScanningBeam /> sweep; <SoMTag /> numbers and <GeminiCallout /> appear; <LabelPill /> pops in with heavy spring.","Scanning hum + label pop SFX + success chime",Show cursor press
S08,02:10,02:20,10,Demo (after),Labeled state,"The screen reader now says 'Search', 'Cart', 'Close'.","After","Full-frame <MockBrowser /> labeled state; <LabelPill />s remain visible; <CaptionStack /> shows spoken words.","Screen reader voice speaks labels",Hold long enough to read
S09,02:20,02:40,20,Privacy,BYOK flow,"Your key stays in your browser. No backend, no stored data. Screenshots go directly to Gemini, then disappear.","BYOK / No backend / No data stored","Use <FlowDiagram /> nodes (Browser, Gemini, Labels, DOM) with connectors.","Gentle whoosh between nodes",Minimal motion
S10,02:40,02:55,15,Benefits,Who wins,"Developers get instant fixes. Users get independence. Accessibility improves now, not later.","Instant repair / Developer-friendly / User-first","Use <BenefitCardRow /> with icon glyphs and soft glow.","Bed rises slightly",Align icons to grid
S11,02:55,03:00,5,Close,Final lockup,"WebIlluminator. Illuminate the dark corners of the web.","Logo + repo URL + hackathon logo","Use <LogoLockup /> with fade to black.","Bed fade out",Keep clean
